protein	cytokine-type
CCL15_14109-15	cytokine
CCL16_4913-78	cytokine
CCL19_4922-13	cytokine
CCL7_22969-12	cytokine
CSF1_3738-54	cytokine
CSF2_4697-59	cytokine
CXCL11_3038-9	cytokine
CXCL13_3487-32	cytokine
CXCL17_9495-10	cytokine
IL11_4493-92	cytokine
IL19_3035-80	cytokine
IL1RN_5353-89	cytokine
IL6_4673-13	cytokine
KITLG_9377-25	cytokine
TNFSF11_14061-48	cytokine
TNFSF4_2839-2	cytokine
XCL1_14078-69	cytokine
ADA2_6077-63	cytokine-like
EDN1_6495-14	cytokine-like
EDN3_15383-200	cytokine-like
FAM3D_7919-278	cytokine-like
NAMPT_5011-11	cytokine-like
PDGFA_4499-21	cytokine-like
PDGFC_13658-31	cytokine-like
SPP1_13113-7	cytokine-like
VEGFA_14032-2	cytokine-like